example_id,model,target_concept,source_concept,predicted_mappings,ground_truth_mappings,num_correct,total,accuracy,reasoning,elapsed_time
210,gpt-oss-20b,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""bourgeois reformers"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reform movement"", ""feudal ruler self-help movement"": ""politics""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",1,5,0.2,"The goal is to match target properties of the *Westernization Movement* with analogous source properties from the *Reform Movement of 1898*, based on conceptual similarity rather than literal identity.

1. **technology → reform** – Westernization involved the adoption of Western technological advancements; the reform movement’s primary aim was modernization, which inherently includes technology.
2. **self‑improvement → bourgeois reformers** – The Westernization movement emphasized individuals and the middle class striving for personal and societal betterment; the bourgeois reformers in 1898 were a similar class of self‑help oriented reformers.
3. **Li Hongzhang → Kang Youwei** – Li Hongzhang is a prominent Chinese reform figure in the Westernization context; the closest analog in the 1898 reform movement is Kang Youwei, another leading reformer.
4. **Landlord Class Westernization School → bourgeois reform movement** – This concept refers to a class-based reform approach; the “bourgeois reform movement” in 1898 captures the same class‑centric reform dynamic.
5. **feudal ruler self‑help movement → politics** – The idea of feudal rulers (emperors/monarchs) engaging in self‑improvement fits best with the overarching political domain of the 1898 reform movement.

These pairings rely on the thematic role each property plays within its respective movement. They are not literal synonyms but represent the strongest conceptual correspondences.",0.24
210,gpt-oss-120b,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""bourgeois reformers"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reform movement"", ""feudal ruler self-help movement"": ""politics""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",1,5,0.2,"The Westernization Movement’s target properties can be aligned with comparable elements of the 1898 Reform Movement by looking at functional and thematic parallels:

* **technology** – The core of the Westernization effort was the introduction of modern technologies; the 1898 reforms similarly sought technological and industrial modernization, which is captured by the source property **“reform.”**
* **self‑improvement** – Westernization emphasized personal and societal self‑betterment, a goal also championed by the **“bourgeois reformers”** who pursued moral and intellectual uplift.
* **Li Hongzhang** – As a leading Qing official who promoted modernization, Li Hongzhang parallels the reformist intellectual **“Kang Youwei,”** both serving as prominent advocates of change.
* **Landlord Class Westernization School** – This denotes an organized, class‑based movement for Western learning; the closest analogue is the **“bourgeois reform movement,”** which represented a similar class‑driven push for reform.
* **feudal ruler self‑help movement** – The idea of a ruler initiating self‑help reforms corresponds to the broader **“politics”** of the era, where state‑level political initiatives drove the reform agenda.

These mappings reflect the most direct conceptual correspondences between the two sets of properties.",0.23
210,gpt-4.1-mini,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",4,5,0.8,"The Westernization Movement and the Reform Movement of 1898 both represent efforts to modernize and reform society by introducing new ideas and values, though they focus on different aspects and contexts. The Westernization Movement emphasizes cultural and social changes, particularly in relation to gender equality and feminist advocacy, while the Reform Movement of 1898 centers on political and institutional reforms in late Qing dynasty China. Despite these differences, there are parallels in their goals of self-improvement and modernization, as well as the involvement of influential figures and social classes advocating for change. The Westernization Movement's focus on self-improvement and the role of figures like Li Hongzhang and the Landlord Class Westernization School can be mapped to the Reform Movement's emphasis on reform, political leadership, and the bourgeois reformers like Kang Youwei. Both movements faced resistance from conservative forces but contributed to laying the groundwork for future societal transformations.",8.98
210,gpt-4.1-nano,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform and modernization efforts"", ""self-improvement"": ""reform initiatives aimed at societal progress"", ""Li Hongzhang"": ""Kang Youwei and other reformers"", ""Landlord Class Westernization School"": ""bourgeois reformers and reformist groups"", ""feudal ruler self-help movement"": ""Qing dynasty's attempts at modernization and reform""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",0,5,0.0,"The Westernization Movement and the Reform Movement of 1898 both involve efforts to modernize and reform their respective societies through the adoption of new ideas, policies, and cultural shifts. The Westernization Movement emphasizes the introduction of Western culture, values, and social reforms, including self-improvement and social change driven by influential figures and educational institutions. Similarly, the Reform Movement of 1898 aimed to modernize China through political, economic, and educational reforms, led by reform-minded officials and intellectuals. The properties ""self-improvement"" and ""Li Hongzhang"" in the Westernization Movement relate to individual and institutional efforts to modernize, akin to the reformers like Kang Youwei and the bourgeois reformers in China. The ""Landlord Class Westernization School"" can be compared to the reformist groups advocating for modernization. The ""feudal ruler self-help movement"" aligns with efforts to reform traditional structures, similar to the Qing dynasty's attempts at modernization. The properties in both movements reflect a shared theme of societal transformation through reform, modernization, and the influence of reformist leaders and ideas.",5.16
210,grok-4-fast,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",4,5,0.8,"The target concept ""Westernization Movement"" appears to describe the Self-Strengthening Movement (Yangwu Yundong) in late Qing China, focusing on adopting Western technology for self-improvement while preserving traditional structures, led by officials like Li Hongzhang and associated with landlord/official classes. The source concept ""Reform Movement of 1898"" (Hundred Days' Reform) is a later, more radical reform effort led by Kang Youwei and bourgeois intellectuals, emphasizing political and institutional changes. Both are Qing-era reform movements responding to Western pressures, but they differ in focus (practical/technology vs. political/institutional) and leadership (official/landlord vs. bourgeois/intellectual). Mappings are based on conceptual analogies: leaders to leaders, groups to groups, movements to movements, and thematic elements (e.g., self-improvement to reform). ""Technology"" in the target has no direct source equivalent (source is more political), so it maps loosely to ""reform"" as a broad modernization effort; ""politics"" in source has no direct target match but is not being mapped from (we map target to source).",0.24
210,gemini-2.5-flash-lite,Westernization Movement,Reform Movement of 1898,"{""politics"": ""politics"", ""reform"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",3,5,0.6,"The user wants to map properties from the ""Reform Movement of 1898"" to the ""Westernization Movement"". I need to analyze the descriptions and properties of both concepts to find logical connections.

- ""politics"" (source) relates to the broader context of the Westernization Movement's impact on society and its struggle against political opposition.
- ""reform"" (source) is a core aspect of the Westernization Movement, which aimed to modernize and introduce new ideas.
- ""Kang Youwei"" (source) is a key figure in the Reform Movement of 1898, and while not directly mentioned in the Westernization Movement's description, the concept of ""Li Hongzhang"" (target) represents a similar historical figure associated with modernization efforts in China.
- ""bourgeois reformers"" (source) aligns with the idea of ""Landlord Class Westernization School"" (target) as both represent groups advocating for change and modernization within a specific social class.
- ""bourgeois reform movement"" (source) is directly analogous to the ""Westernization Movement"" (target) as both describe a period of significant societal change driven by reformist ideals.",46.71
210,meta-llama-3-1-70b-instruct,Westernization Movement,Reform Movement of 1898,"{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",5,5,1.0,"The target concept, Westernization Movement, and the source concept, Reform Movement of 1898, share similarities in their goals and outcomes. Both movements aimed to modernize and strengthen their respective societies, with a focus on introducing Western culture and values. The target properties, such as ""technology"" and ""self-improvement"", can be mapped to the source properties, such as ""politics"" and ""reform"", as they both relate to the idea of progress and modernization. Additionally, the key figures mentioned in both concepts, Li Hongzhang and Kang Youwei, were both influential in their respective movements, further supporting the mapping between the two concepts.",17.96
210,meta-llama-3-1-8b-instruct,Westernization Movement,Reform Movement of 1898,"{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",3,5,0.6,"The Westernization Movement and the Reform Movement of 1898 share a common thread of reform and modernization in China. While the Westernization Movement focused on introducing Western culture and values, the Reform Movement of 1898 aimed to modernize and strengthen the Chinese state through progressive policies. Both movements were responses to the social and economic crisis in China at the time. The Westernization Movement's emphasis on self-improvement and the Landlord Class Westernization School's focus on individual development can be seen as related to the Reform Movement of 1898's goals of strengthening industry and commerce. Additionally, the involvement of prominent figures like Li Hongzhang in the Westernization Movement and Kang Youwei in the Reform Movement of 1898 highlights the overlap between the two movements.",8.98
210,deepseek-r1,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",4,5,0.8,"The Westernization Movement and the Reform Movement of 1898 share thematic parallels in their goals of modernization and adaptation of Western ideas, though their contexts differ. The **technology** and **self-improvement** aspects of the Westernization Movement align with the Reform Movement's emphasis on modernization (""reform""). **Li Hongzhang**, a key figure in China's Westernization efforts, maps to **Kang Youwei**, the leading intellectual force behind the 1898 reforms. The **Landlord Class Westernization School** represents a conservative elite advocating gradual modernization, analogous to the **bourgeois reformers** in the Reform Movement. The **feudal ruler self-help movement** reflects internal efforts to preserve power through adaptation, mirroring the **bourgeois reform movement**'s structured push for systemic change. Both movements faced resistance from entrenched traditional forces but sought progress through selective adoption of foreign ideas.",0.27
210,qwen3-14b,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""politics""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",3,5,0.6,"The Westernization Movement and the Reform Movement of 1898 both involved efforts to modernize and reform societies through adopting external ideas. Key mappings are derived from shared themes of reform, leadership figures, and institutional efforts. ""Technology"" in the target aligns with the broader ""reform"" in the source, as both movements aimed to modernize. ""Self-improvement"" corresponds to the reform goals of the source. Li Hongzhang (target) and Kang Youwei (source) are analogous as key reform leaders. The ""Landlord Class Westernization School"" maps to ""bourgeois reformers"" as both represent institutional reform groups. ""Feudal ruler self-help movement"" maps to ""politics"" since the Reform Movement was a political initiative.",19.87
210,qwen3-32b,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reform movement"", ""feudal ruler self-help movement"": ""reform""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",2,5,0.4,"The Westernization Movement and the Reform Movement of 1898 both represent efforts to modernize and adapt to external pressures, albeit in different contexts. The target properties ""technology"" and ""self-improvement"" align with the source property ""reform,"" as the Reform Movement of 1898 aimed to modernize China through progressive policies, which inherently included technological and societal improvements. ""Li Hongzhang"" maps to ""Kang Youwei"" as both are pivotal figures in their respective movements. The ""Landlord Class Westernization School"" corresponds to the ""bourgeois reform movement"" in the source, as both represent reformist factions within their social classes. Finally, the ""feudal ruler self-help movement"" maps to ""reform,"" as the Reform Movement of 1898 was a state-led initiative under the Guangxu Emperor, mirroring the feudal ruler's self-help framework.",25.4
